TIME,GEO,PRODUCTONSOM,UNIT,TAXURRENCY,Value,Flag and Footnotes
2008S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1231
2008S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1477
2008S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0904
2008S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0932
2008S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1118
2008S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0742
2008S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0767
2008S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0921
2008S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0619
2008S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0645
2008S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0774
2008S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0624
2008S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0645
2008S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0774
2008S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,:
2008S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,:
2008S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,:
2008S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1444
2008S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1485
2008S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1782
2008S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1250
2008S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1285
2008S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1542
2008S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0951
2008S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0985
2008S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1182
2008S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0770
2008S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0803
2008S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0963
2008S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0627
2008S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0655
2008S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0787
2008S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0741
2008S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0776
2008S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0931
2008S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,:
2008S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,:
2008S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,:
2009S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1584
2009S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1668
2009S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.2002
2009S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1284
2009S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1321
2009S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1586
2009S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0987
2009S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1029
2009S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1235
2009S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0773
2009S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0810
2009S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0972
2009S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0610
2009S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0638
2009S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0766
2009S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0674
2009S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0695
2009S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0834
2009S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,:
2009S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,:
2009S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,:
2009S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1549
2009S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1641
2009S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1969
2009S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1238
2009S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1276
2009S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1532
2009S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0921
2009S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0962
2009S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1155
2009S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0760
2009S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0798
2009S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0957
2009S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0716
2009S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0748
2009S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0898
2009S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0733
2009S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0758
2009S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0910
2009S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,:
2009S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,:
2009S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,:
2010S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1295
2010S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1434
2010S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1720
2010S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1105
2010S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1174
2010S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1408
2010S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0917
2010S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0993
2010S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1192
2010S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0770
2010S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0846
2010S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1015
2010S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0663
2010S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0725
2010S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0870
2010S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0660
2010S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0725
2010S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0870
2010S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,:
2010S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,:
2010S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,:
2010S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1301
2010S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1475
2010S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1770
2010S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1094
2010S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1187
2010S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1424
2010S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0904
2010S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1005
2010S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1206
2010S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0764
2010S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0865
2010S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1038
2010S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0664
2010S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0750
2010S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0900
2010S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0659
2010S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0749
2010S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0899
2010S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,:
2010S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,:
2010S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,:
2011S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1271
2011S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1438
2011S1,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1726
2011S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1058
2011S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1147
2011S1,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1377
2011S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0889
2011S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0987
2011S1,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1185
2011S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0755
2011S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0849
2011S1,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1019
2011S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0671
2011S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0753
2011S1,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0904
2011S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0677
2011S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0766
2011S1,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0920
2011S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,:
2011S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,:
2011S1,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,:
2011S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1311
2011S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1435
2011S2,Slovenia,Electrical energy,Band IA : Consumption < 20 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1723
2011S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.1055
2011S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.1126
2011S2,Slovenia,Electrical energy,Band IB : 20 MWh < Consumption < 500 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1351
2011S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0889
2011S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0964
2011S2,Slovenia,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1157
2011S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0771
2011S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0844
2011S2,Slovenia,Electrical energy,Band ID : 2 000 MWh < Consumption < 20 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.1013
2011S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0702
2011S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0769
2011S2,Slovenia,Electrical energy,Band IE : 20 000 MWh < Consumption < 70 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0922
2011S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,0.0658
2011S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0727
2011S2,Slovenia,Electrical energy,Band IF : 70 000 MWh < Consumption < 150 000 MWh,Kilowatt-hour,All taxes and levies included,Euro,0.0872
2011S2,Slovenia,Electrical energy,Band IG : Consumption > 150 000 MWh,Kilowatt-hour,Excluding taxes and levies,Euro,:
